,,Player,Team,Position
2022-23,FIRST TEAM,Giannis Antetokounmpo, Milwaukee Bucks,F
2022-23,FIRST TEAM,Jayson Tatum, Boston Celtics,F
2022-23,FIRST TEAM,Joel Embiid, Philadelphia 76ers,C
2022-23,FIRST TEAM,Shai Gilgeous-Alexander, Oklahoma City Thunder,G
2022-23,FIRST TEAM,Luka Doncic, Dallas Mavericks,G
2022-23,SECOND TEAM,Jimmy Butler, Miami Heat,F
2022-23,SECOND TEAM,Jaylen Brown, Boston Celtics,F
2022-23,SECOND TEAM,Nikola Jokic, Denver Nuggets,C
2022-23,SECOND TEAM,Donovan Mitchell, Cleveland Cavaliers,G
2022-23,SECOND TEAM,Stephen Curry, Golden State Warriors,G
2022-23,THIRD TEAM,Julius Randle, New York Knicks,F
2022-23,THIRD TEAM,LeBron James, Los Angeles Lakers,F
2022-23,THIRD TEAM,Domantas Sabonis, Sacramento Kings,C
2022-23,THIRD TEAM,De’Aaron Fox, Sacramento Kings,G
2022-23,THIRD TEAM,Damian Lillard, Portland Trail Blazers,G
2021-22,FIRST TEAM,Giannis Antetokounmpo, Milwaukee Bucks,F
2021-22,FIRST TEAM,Jayson Tatum, Boston Celtics,F
2021-22,FIRST TEAM,Nikola Jokic, Denver Nuggets,C
2021-22,FIRST TEAM,Devin Booker, Phoenix Suns,G
2021-22,FIRST TEAM,Luka Doncic, Dallas Mavericks,G
2021-22,SECOND TEAM,DeMar DeRozan, Chicago Bulls,F
2021-22,SECOND TEAM,Kevin Durant, Brooklyn Nets,F
2021-22,SECOND TEAM,Joel Embiid, Philadelphia 76ers,C
2021-22,SECOND TEAM,Ja Morant, Memphis Grizzlies,G
2021-22,SECOND TEAM,Stephen Curry, Golden State Warriors,G
2021-22,THIRD TEAM,Pascal Siakam, Toronto Raptors,F
2021-22,THIRD TEAM,LeBron James, Los Angeles Lakers,F
2021-22,THIRD TEAM,Karl-Anthony Towns, Minnesota Timberwolves,C
2021-22,THIRD TEAM,Chris Paul, Phoenix Suns,G
2021-22,THIRD TEAM,Trae Young, Atlanta Hawks,G
2020-21,FIRST TEAM,Giannis Antetokounmpo, Milwaukee Bucks,F
2020-21,FIRST TEAM,Kawhi Leonard, LA Clippers,F
2020-21,FIRST TEAM,Nikola Jokic, Denver Nuggets,C
2020-21,FIRST TEAM,Stephen Curry, Golden State Warriors,G
2020-21,FIRST TEAM,Luka Doncic, Dallas Mavericks,G
2020-21,SECOND TEAM,Julius Randle, New York Knicks,F
2020-21,SECOND TEAM,LeBron James, Los Angeles Lakers,F
2020-21,SECOND TEAM,Joel Embiid, Philadelphia 76ers,C
2020-21,SECOND TEAM,Chris Paul, Phoenix Suns,G
2020-21,SECOND TEAM,Damian Lillard, Portland Trail Blazers,G
2020-21,THIRD TEAM,Jimmy Butler, Miami Heat,F
