,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
0,Lenny Wilkens,ATL,4,24,82,56,26,328,201,127,1946,0.55,144.0,0.4722222222222222,1996
1,M.L. Carr,BOS,2,2,82,15,67,164,48,116,164,0.293,,,1996
2,Dave Cowens,CHH,1,2,82,54,28,82,54,28,150,0.54,3.0,0.0,1996
3,Phil Jackson,CHI,8,8,82,69,13,656,483,173,656,0.736,131.0,0.732824427480916,1996
4,Mike Fratello,CLE,4,12,82,42,40,328,179,149,905,0.556,50.0,0.38,1996
5,Jim Cleamons,DAL,1,1,82,24,58,82,24,58,82,0.293,,,1996
6,Bernie Bickerstaff,DEN,3,8,13,4,9,127,59,68,572,0.495,33.0,0.36363636363636365,1996
7,Dick Motta,DEN,1,25,69,17,52,69,17,52,1952,0.479,126.0,0.4444444444444444,1996
8,Doug Collins,DET,2,5,82,54,28,164,100,64,410,0.578,38.0,0.39473684210526316,1996
9,Rick Adelman,GSW,2,8,82,30,52,164,66,98,609,0.586,69.0,0.5217391304347826,1996
10,Rudy Tomjanovich,HOU,6,6,82,57,25,440,281,159,440,0.639,81.0,0.5925925925925926,1996
11,Larry Brown,IND,4,18,82,39,43,328,190,138,1440,0.592,125.0,0.488,1996
12,Bill Fitch,LAC,3,24,82,36,46,246,82,164,1968,0.471,109.0,0.5045871559633027,1996
13,Del Harris,LAL,3,12,82,56,26,246,157,89,919,0.532,75.0,0.41333333333333333,1996
14,Pat Riley,MIA,2,15,82,61,21,164,103,61,1219,0.705,232.0,0.625,1996
15,Chris Ford,MIL,1,6,82,33,49,82,33,49,492,0.518,29.0,0.4482758620689655,1996
16,Flip Saunders,MIN,2,2,82,40,42,144,60,84,144,0.417,3.0,0.0,1996
17,John Calipari,NJN,1,1,82,26,56,82,26,56,82,0.317,,,1996
18,Jeff Van Gundy,NYK,2,2,82,57,25,105,70,35,105,0.667,18.0,0.5555555555555556,1996
19,Brian Hill,ORL,4,4,49,24,25,295,191,104,295,0.647,36.0,0.5,1996
20,Richie Adubato,ORL,1,6,33,21,12,33,21,12,367,0.346,8.0,0.25,1996
21,Johnny Davis,PHI,1,1,82,22,60,82,22,60,82,0.268,,,1996
22,Cotton Fitzsimmons,PHO,8,21,8,0,8,549,341,208,1607,0.518,84.0,0.4166666666666667,1996
23,Danny Ainge,PHO,1,1,74,40,34,74,40,34,74,0.541,5.0,0.4,1996
24,P.J. Carlesimo,POR,3,3,82,49,33,246,137,109,246,0.557,12.0,0.25,1996
25,Garry St. Jean,SAC,5,5,67,28,39,395,159,236,395,0.403,4.0,0.25,1996
26,Eddie Jordan,SAC,1,1,15,6,9,15,6,9,15,0.4,,,1996
27,Bob Hill,SAS,3,7,18,3,15,182,124,58,469,0.548,37.0,0.4594594594594595,1996
28,Gregg Popovich,SAS,1,1,64,17,47,64,17,47,64,0.266,,,1996
29,George Karl,SEA,6,10,82,57,25,452,323,129,747,0.592,84.0,0.4880952380952381,1996
30,Darrell Walker,TOR,1,1,82,30,52,82,30,52,82,0.366,,,1996
31,Jerry Sloan,UTA,9,12,82,64,18,721,483,238,936,0.616,103.0,0.5048543689320388,1996
