,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,G,W,L,W/L%,Conf,Champ
1,Rick Adelman*,1989,2014,23,1791,1042,749,0.582,146.5,157,79,78,0.503,2,0
2,Richie Adubato,1980,1997,6,367,127,240,0.346,-56.5,8,2,6,0.25,0,0
3,Danny Ainge,1997,2000,4,226,136,90,0.602,23,12,3,9,0.25,0,0
4,Stan Albeck,1980,1986,7,574,307,267,0.535,20,44,18,26,0.409,0,0
5,Curly Armstrong,1949,1949,1,54,22,32,0.407,-5,,,,,0,0
6,Kenny Atkinson,2017,2020,4,308,118,190,0.383,-36,5,1,4,0.2,0,0
7,Al Attles,1970,1983,14,1075,557,518,0.518,19.5,61,31,30,0.508,1,1
8,Red Auerbach*,1947,1966,20,1419,938,481,0.661,228.5,168,99,69,0.589,0,9
9,Randy Ayers,2004,2004,1,52,21,31,0.404,-5,,,,,0,0
10,Johnny Bach,1980,1986,4,267,95,172,0.356,-38.5,,,,,0,0
11,Ed Badger,1977,1978,2,164,84,80,0.512,2,3,1,2,0.333,0,0
12,Cliff Barker,1950,1951,2,120,63,57,0.525,3,6,3,3,0.5,0,0
13,Tony Barone,2007,2007,1,52,16,36,0.308,-10,,,,,0,0
14,Tom Barrise,2010,2010,1,2,0,2,0,-1,,,,,0,0
15,Bob Bass,1980,1992,3,111,60,51,0.541,4.5,6,1,5,0.167,0,0
16,Elgin Baylor,1975,1979,4,221,86,135,0.389,-24.5,,,,,0,0
17,Butch Beard,1995,1996,2,164,60,104,0.366,-22,,,,,0,0
18,Clair Bee,1953,1954,2,139,32,107,0.23,-37.5,2,0,2,0,0,0
19,John Beilein,2020,2020,1,54,14,40,0.259,-13,,,,,0,0
20,Carl Bennett,1949,1949,1,6,0,6,0,-3,,,,,0,0
21,Bill Berry,2002,2002,1,2,0,2,0,-1,,,,,0,0
22,Bill Bertka,1994,1999,2,3,2,1,0.667,0.5,,,,,0,0
23,Al Bianchi,1968,1969,2,164,53,111,0.323,-29,,,,,0,0
24,Bernie Bickerstaff,1986,2013,14,937,419,518,0.447,-49.5,33,12,21,0.364,0,0
25,J.B. Bickerstaff,2016,2024,8,529,249,280,0.471,-15.5,10,2,8,0.2,0,0
26,Chauncey Billups,2022,2024,3,230,79,151,0.343,-36,,,,,,
27,Paul Birch,1947,1954,4,267,120,147,0.449,-13.5,14,4,10,0.286,0,0
28,Larry Bird,1998,2000,3,214,147,67,0.687,40,52,32,20,0.615,1,0
29,Nate Bjorkgren,2021,2021,1,72,34,38,0.472,-2,,,,,0,0
30,Bill Blair,1983,1996,3,108,29,79,0.269,-25,2,0,2,0,0,0
31,David Blatt,2015,2016,2,123,83,40,0.675,21.5,20,14,6,0.7,1,0
32,James Borrego,2015,2022,5,331,148,183,0.447,-17.5,,,,,0,0
33,Vince Boryla,1956,1958,3,165,80,85,0.485,-2.5,,,,,0,0
34,Jeff Bower,2010,2010,1,73,34,39,0.466,-2.5,,,,,0,0
35,Jim Boylan,2008,2013,2,106,46,60,0.434,-7,4,0,4,0,0,0
36,Jim Boylen,2019,2020,2,123,39,84,0.317,-22.5,,,,,0,0
37,Carl Braun,1960,1961,2,127,40,87,0.315,-23.5,,,,,0,0
38,Allan Bristow,1992,1996,5,410,207,203,0.505,2,13,5,8,0.385,0,0
39,Scott Brooks,2009,2021,12,935,521,414,0.557,53.5,97,49,48,0.505,1,0
40,Jim Brovelli,1999,1999,1,18,5,13,0.278,-4,,,,,0,0
41,Brett Brown,2014,2020,7,565,221,344,0.391,-61.5,26,12,14,0.462,0,0
42,Herb Brown,1976,1978,3,146,72,74,0.493,-1,12,5,7,0.417,0,0
43,Hubie Brown,1977,2005,13,919,424,495,0.461,-35.5,38,14,24,0.368,0,0
44,Larry Brown*,1977,2011,26,2002,1098,904,0.548,97,193,100,93,0.518,3,1
45,Mike Brown,2006,2024,10,710,433,277,0.61,78,90,50,40,0.556,1,0
46,Tony Brown,2016,2016,1,45,11,34,0.244,-11.5,,,,,0,0
47,Philip Brownstein,1949,1950,2,79,50,29,0.633,10.5,2,0,2,0,0,0
48,Quinn Buckner,1994,1994,1,82,13,69,0.159,-28,,,,,0,0
49,Bucky Buckwalter,1973,1973,1,37,13,24,0.351,-5.5,,,,,0,0
50,Mike Budenholzer,2014,2023,10,801,484,317,0.604,83.5,104,56,48,0.538,1,1
51,Walt Budko,1951,1951,1,29,10,19,0.345,-4.5,,,,,0,0
52,Donnie Butcher,1967,1969,3,112,52,60,0.464,-4,6,2,4,0.333,0,0
53,Jeff Bzdelik,2003,2005,3,192,73,119,0.38,-23,5,1,4,0.2,0,0
54,John Calipari*,1997,1999,3,184,72,112,0.391,-20,3,0,3,0,0,0
55,Mack Calvin,1992,1992,1,2,1,1,0.5,0,,,,,0,0
56,Kaleb Canales,2012,2012,1,23,8,15,0.348,-3.5,,,,,0,0
57,P.J. Carlesimo,1995,2013,9,554,239,315,0.431,-38,19,6,13,0.316,0,0
58,Rick Carlisle,2002,2024,22,1756,933,823,0.531,55,133,63,70,0.474,1,1
59,M.L. Carr,1996,1997,2,164,48,116,0.293,-34,,,,,0,0
60,John Carroll,2004,2004,1,36,14,22,0.389,-4,4,0,4,0,0,0
61,Butch Carter,1998,2000,3,165,73,92,0.442,-9.5,3,0,3,0,0,0
62,Fred Carter,1993,1994,2,108,32,76,0.296,-22,,,,,0,0
63,Bill Cartwright,2002,2004,3,151,51,100,0.338,-24.5,,,,,0,0
64,Don Casey,1989,2000,4,238,85,153,0.357,-34,,,,,0,0
65,Dwane Casey,2006,2023,14,1064,494,570,0.464,-38,55,21,34,0.382,0,0
66,John Castellani,1960,1960,1,36,11,25,0.306,-7,,,,,0,0
67,Al Cervi,1950,1959,9,567,326,241,0.575,42.5,59,33,26,0.559,0,1
