TEAM,Season,W,Perc_3PA,Perc_2PA,Perc_AST,Perc_STL,PFminusPFD,OPP_Perc_3PA,OPP_Perc_2PA,OPP_Perc_AST,OPP_Perc_STL,L1_N_Awards_Won,L1_Coach_RS_W_Perc_Overall,L1_Coach_P_W_Perc,AVG_PLAYER_AGE,Coach,Coach_N_Seasons_Overall,Coach_Perc_Seasons_TEAM
Atlanta Hawks,1996,56,0.2906294593309022,0.7093705406690979,0.5536984352773826,0.55327545382794,1586,0.21689922480620155,0.7831007751937985,0.5937945791726106,0.49267100977198697,,,,27.529411764705884,Lenny Wilkens,24,0.16666666666666666
Atlanta Hawks,1997,50,0.15994962216624686,0.8400503778337531,0.543470730862487,0.5796064400715564,1658,0.15185904136180378,0.8481409586381962,0.5920297196892942,0.5074135090609555,0.0,0.55,0.4722222222222222,28.25,Lenny Wilkens,25,0.2
Atlanta Hawks,1998,31,0.1713221601489758,0.8286778398510242,0.5074723846653671,0.5125925925925926,978,0.1634814049586777,0.8365185950413223,0.5600750938673341,0.5094086021505376,1.0,0.552,0.4662162162162162,28.5,Lenny Wilkens,26,0.23076923076923078
Atlanta Hawks,1999,28,0.11958278242985163,0.8804172175701483,0.516,0.4995004995004995,1583,0.14376770538243627,0.8562322946175638,0.5873559638741825,0.5173775671406003,0.0,0.554,0.4585987261146497,26.692307692307693,Lenny Wilkens,27,0.25925925925925924
Atlanta Hawks,2000,25,0.1399220155968806,0.8600779844031193,0.5420723226703755,0.523102310231023,1856,0.1634135270086246,0.8365864729913755,0.5944558521560575,0.5102339181286549,0.0,0.546,0.4585987261146497,26.1875,Lon Kruger,1,1.0
Atlanta Hawks,2001,33,0.18063540090771557,0.8193645990922844,0.5704929334712168,0.5379644588045234,1693,0.1991309559484567,0.8008690440515434,0.6055464926590538,0.5518053375196232,1.0,0.305,,27.0,Lon Kruger,2,1.0
Atlanta Hawks,2002,35,0.1773391358408455,0.8226608641591545,0.5872682756208465,0.5720973782771536,1775,0.17993630573248406,0.8200636942675159,0.587396351575456,0.5398683247988295,0.0,0.354,,27.85,Terry Stotts,1,1.0
Atlanta Hawks,2003,28,0.19130035227446776,0.8086996477255323,0.5825379992930364,0.5447437011294527,1823,0.19955489614243324,0.8004451038575667,0.6074797843665768,0.5414814814814815,0.0,0.436,,27.1875,Terry Stotts,2,1.0
Atlanta Hawks,2004,13,0.14583333333333334,0.8541666666666666,0.548606390210741,0.5198347107438016,2008,0.19283142901862577,0.8071685709813743,0.5923127463863338,0.5428354814253222,0.0,0.38,,27.529411764705884,Mike Woodson,1,1.0
Atlanta Hawks,2005,26,0.17764778325123154,0.8223522167487685,0.5515953835709436,0.47840260798696005,199,0.18731540494326132,0.8126845950567387,0.5492682926829269,0.4649532710280374,0.0,0.159,,23.615384615384617,Mike Woodson,2,1.0
