TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",Season
Boston Celtics,66,52,14,48.4,110.4,36.3,72.7,6.5,6.6,13.4,13.3,13.0,47.6,2023
Denver Nuggets,67,47,20,48.1,112.9,33.4,71.9,7.1,5.5,16.2,13.0,13.6,50.6,2023
Oklahoma City Thunder,67,47,20,48.3,111.5,33.0,69.1,8.2,6.7,14.7,15.4,12.3,46.8,2023
Minnesota Timberwolves,67,46,21,48.4,108.2,34.7,72.8,7.5,6.0,16.3,12.9,13.1,46.5,2023
Milwaukee Bucks,67,43,24,48.2,115.3,34.9,73.1,6.9,5.0,14.7,13.9,13.8,51.5,2023
Cleveland Cavaliers,67,42,25,48.4,110.8,34.2,72.4,7.4,4.9,16.8,12.8,14.0,46.4,2023
LA Clippers,66,42,24,48.1,114.8,32.7,70.3,7.8,5.1,15.6,13.9,14.8,49.5,2023
New Orleans Pelicans,67,41,26,48.1,111.7,33.7,72.1,8.2,5.0,15.6,13.0,13.9,46.8,2023
New York Knicks,67,40,27,48.0,111.9,33.1,73.3,7.3,4.1,14.8,12.0,14.3,46.7,2023
Orlando Magic,67,39,28,48.3,111.2,31.9,73.5,8.1,5.2,16.5,12.3,14.3,47.9,2023
Phoenix Suns,67,39,28,48.3,114.3,34.0,70.8,7.3,6.0,18.3,14.3,14.6,49.9,2023
Dallas Mavericks,67,38,29,48.0,116.8,32.4,69.9,6.8,4.8,15.5,14.6,16.0,52.3,2023
Indiana Pacers,68,38,30,48.1,118.1,31.3,70.1,7.7,5.9,16.5,14.9,14.1,58.9,2023
Sacramento Kings,66,38,28,48.5,115.8,33.0,74.6,7.4,4.0,16.8,11.1,11.8,50.1,2023
Philadelphia 76ers,67,37,30,48.1,114.1,31.6,69.9,8.5,5.7,14.2,13.9,15.3,50.9,2023
Los Angeles Lakers,68,36,32,48.4,115.7,34.4,72.0,7.5,5.5,16.8,15.1,16.0,51.2,2023
Miami Heat,66,36,30,48.1,112.5,32.7,72.9,7.5,3.5,16.0,13.5,13.2,46.9,2023
Golden State Warriors,66,35,31,48.5,115.4,34.3,72.4,6.8,4.3,17.3,13.2,15.2,50.5,2023
Chicago Bulls,68,33,35,48.8,115.4,32.5,71.7,7.6,4.9,15.4,13.6,13.0,45.3,2023
Houston Rockets,67,32,35,48.4,112.1,34.6,72.8,7.7,4.5,14.6,13.3,11.3,47.8,2023
Atlanta Hawks,66,29,37,48.3,118.7,32.0,70.7,7.5,4.6,16.4,14.5,16.7,54.6,2023
Utah Jazz,67,29,38,48.4,119.1,33.7,72.4,6.6,5.9,19.2,13.8,18.2,51.6,2023
Brooklyn Nets,67,26,41,48.2,115.8,32.3,71.4,6.9,5.1,15.3,13.9,15.3,48.0,2023
Memphis Grizzlies,68,23,45,48.2,113.4,31.8,70.6,7.9,6.2,18.3,14.2,14.5,48.5,2023
Toronto Raptors,67,23,44,48.4,117.3,32.4,69.8,7.6,4.9,16.1,15.0,13.8,54.0,2023
Portland Trail Blazers,67,19,48,48.6,116.8,29.7,68.9,7.8,4.5,19.3,14.4,17.2,54.4,2023
Charlotte Hornets,68,17,51,48.1,118.5,31.2,71.3,6.9,4.6,17.1,14.0,14.2,52.6,2023
San Antonio Spurs,67,14,53,48.1,117.2,33.1,71.4,7.2,6.3,18.3,14.5,14.4,54.7,2023
Detroit Pistons,66,12,54,48.2,118.5,33.0,73.3,6.2,4.9,19.8,13.7,14.1,54.5,2023
Washington Wizards,67,11,56,48.1,119.5,31.3,67.6,7.8,5.2,16.7,16.8,15.3,59.8,2023
Milwaukee Bucks,82,58,24,48.4,110.9,37.5,74.5,6.4,4.9,16.5,13.4,13.0,49.6,2022
Boston Celtics,82,57,25,48.7,110.6,35.6,74.6,6.4,5.2,15.4,12.7,13.2,48.9,2022
Philadelphia 76ers,82,54,28,48.5,112.7,32.2,72.1,7.7,4.7,16.5,12.7,15.5,48.1,2022
Denver Nuggets,82,53,29,48.2,113.5,32.9,72.7,7.5,4.5,17.4,13.4,13.7,52.5,2022
Cleveland Cavaliers,82,51,31,48.5,109.9,31.4,71.5,7.1,4.7,15.5,12.1,12.7,46.3,2022
Memphis Grizzlies,82,51,31,48.2,110.7,34.6,71.1,8.3,5.8,15.6,14.5,13.8,47.5,2022
Sacramento Kings,82,48,34,48.4,116.0,32.9,73.1,7.0,3.4,16.3,12.7,11.5,53.5,2022
New York Knicks,82,47,35,48.7,114.2,34.0,72.7,6.4,4.1,15.3,13.3,12.7,45.9,2022
Brooklyn Nets,82,45,37,48.1,113.5,32.3,68.9,7.1,6.2,16.8,14.6,13.3,50.1,2022
Phoenix Suns,82,45,37,48.2,112.3,32.4,71.4,7.1,5.3,16.1,13.9,13.2,48.6,2022
Golden State Warriors,82,44,38,48.4,113.4,34.1,71.9,7.2,4.0,19.4,13.3,14.1,49.8,2022
LA Clippers,82,44,38,48.4,113.6,33.4,73.1,7.1,4.4,18.1,13.3,14.6,51.1,2022
Miami Heat,82,44,38,48.3,112.8,30.9,73.3,8.0,3.0,15.9,12.0,12.5,46.2,2022
Los Angeles Lakers,82,43,39,48.5,113.2,35.7,72.7,6.4,4.6,17.0,13.9,15.4,52.8,2022
Minnesota Timberwolves,82,42,40,48.4,113.1,32.8,70.3,8.0,5.4,17.7,13.7,14.4,50.8,2022
New Orleans Pelicans,82,42,40,48.4,112.0,33.1,73.2,8.3,4.1,18.0,13.4,13.9,49.5,2022
Atlanta Hawks,82,41,41,48.4,115.4,33.2,71.7,7.1,4.9,15.7,14.1,15.4,54.7,2022
Toronto Raptors,82,41,41,48.3,113.1,30.3,72.1,9.4,5.2,14.5,11.4,15.1,49.1,2022
Chicago Bulls,82,40,42,48.5,111.5,33.9,73.6,7.9,4.5,15.6,11.9,12.9,46.9,2022
