TEAM,GP,W,L,MIN,"EST. 
OFFRTG","EST. 
DEFRTG","EST. 
NETRTG","EST. 
AST RATIO","EST. 
OREB%","EST. 
DREB%","EST. 
REB%","EST. 
TOV%","EST. 
PACE",Season
Boston Celtics,66,52,14,3193,119.8,108.8,11.0,19.1,24.8,76.4,51.9,12.0,100.00,2023
Oklahoma City Thunder,67,47,20,3236,117.7,109.6,8.1,19.3,21.1,73.2,48.2,12.1,102.30,2023
Denver Nuggets,67,47,20,3221,115.4,111.4,4.0,20.8,25.6,75.5,51.2,12.6,99.10,2023
Minnesota Timberwolves,67,46,21,3241,112.8,105.9,6.9,19.1,23.4,77.1,51.8,14.3,99.80,2023
Milwaukee Bucks,67,43,24,3231,116.9,113.0,3.8,18.9,21.4,77.1,50.0,12.3,102.80,2023
LA Clippers,66,42,24,3173,117.1,112.4,4.7,18.8,24.4,74.6,50.4,13.1,99.90,2023
Cleveland Cavaliers,67,42,25,3241,113.4,108.5,4.8,19.9,23.7,77.1,50.9,13.4,99.80,2023
New Orleans Pelicans,67,41,26,3221,115.5,109.8,5.7,19.4,25.2,76.6,51.3,13.1,100.70,2023
New York Knicks,67,40,27,3216,113.2,110.5,2.6,17.4,29.6,76.6,53.1,13.6,98.20,2023
Phoenix Suns,67,39,28,3236,114.8,112.0,2.8,19.0,25.4,75.0,51.6,14.6,101.20,2023
Orlando Magic,67,39,28,3236,110.6,109.0,1.6,17.9,25.8,77.8,51.6,14.8,99.50,2023
Indiana Pacers,68,38,30,3269,117.4,115.9,1.5,20.8,23.6,74.3,48.8,12.6,104.60,2023
Dallas Mavericks,67,38,29,3216,116.0,114.4,1.6,18.3,22.3,74.1,48.3,12.1,102.70,2023
Sacramento Kings,66,38,28,3198,114.3,114.3,0.1,20.0,23.9,78.9,50.7,12.9,101.90,2023
Philadelphia 76ers,67,37,30,3226,114.0,112.2,1.8,17.8,24.9,74.0,49.0,11.8,100.40,2023
Los Angeles Lakers,68,36,32,3289,113.2,113.5,-0.3,20.2,19.6,75.7,48.9,13.2,102.90,2023
Miami Heat,66,36,30,3173,111.5,110.4,1.1,19.0,22.0,77.6,49.5,12.9,98.90,2023
Golden State Warriors,66,35,31,3198,114.4,113.2,1.1,19.8,27.6,76.1,51.9,13.9,102.40,2023
Chicago Bulls,68,33,35,3319,111.9,113.0,-1.0,18.1,24.8,76.4,50.0,12.3,98.70,2023
Houston Rockets,67,32,35,3241,110.5,110.0,0.5,17.7,24.9,76.7,50.7,12.7,101.60,2023
Atlanta Hawks,66,29,37,3188,114.7,116.9,-2.2,18.1,27.8,74.2,50.1,12.8,103.30,2023
Utah Jazz,67,29,38,3241,113.1,117.2,-4.0,19.2,28.6,75.8,52.4,15.0,102.60,2023
Brooklyn Nets,67,26,41,3231,111.2,113.6,-2.4,18.9,25.0,76.0,49.6,12.9,99.90,2023
Toronto Raptors,67,23,44,3241,111.4,114.9,-3.5,20.3,24.6,74.8,49.2,13.1,101.70,2023
Memphis Grizzlies,68,23,45,3279,104.3,111.3,-7.0,18.1,22.7,75.1,48.1,14.9,100.70,2023
Portland Trail Blazers,67,19,48,3256,106.0,114.4,-8.5,16.6,27.1,73.4,48.9,15.0,100.20,2023
Charlotte Hornets,68,17,51,3274,106.7,116.4,-9.7,18.1,21.9,74.9,47.4,13.8,99.90,2023
San Antonio Spurs,67,14,53,3226,107.8,115.4,-7.6,20.5,23.0,75.6,48.9,14.4,103.60,2023
Detroit Pistons,66,12,54,3183,108.7,116.4,-7.7,18.6,25.0,77.8,50.9,15.1,102.80,2023
Washington Wizards,67,11,56,3221,108.4,117.3,-8.9,19.7,19.9,71.8,45.1,13.2,105.20,2023
Milwaukee Bucks,82,58,24,3966,112.8,109.4,3.3,18.1,25.0,77.8,52.4,14.1,102.80,2022
Boston Celtics,82,57,25,3996,115.7,108.8,7.0,19.1,22.1,78.5,50.7,13.1,100.60,2022
Philadelphia 76ers,82,54,28,3976,115.5,110.2,5.2,18.6,21.6,77.2,49.9,13.7,99.20,2022
Denver Nuggets,82,53,29,3951,115.0,111.7,3.3,20.5,24.8,76.4,51.3,14.4,100.30,2022
Memphis Grizzlies,82,51,31,3956,112.3,108.3,4.0,18.2,26.5,75.9,51.2,13.1,103.70,2022
Cleveland Cavaliers,82,51,31,3976,113.7,107.7,6.0,18.6,23.6,76.3,49.9,13.5,98.00,2022
Sacramento Kings,82,48,34,3966,117.0,114.1,2.9,19.3,22.7,77.2,50.2,13.1,102.50,2022
New York Knicks,82,47,35,3991,114.9,111.8,3.1,16.6,28.3,77.1,52.6,12.9,99.70,2022
Phoenix Suns,82,45,37,3956,112.1,110.1,2.1,19.3,26.6,76.0,50.8,13.4,100.80,2022
Brooklyn Nets,82,45,37,3946,113.0,110.9,2.1,18.9,19.6,73.7,47.3,13.7,100.70,2022
Golden State Warriors,82,44,38,3966,113.5,111.4,2.1,20.4,24.4,76.0,50.7,15.5,104.20,2022
LA Clippers,82,44,38,3966,112.4,112.0,0.3,17.5,22.9,76.6,50.1,14.1,100.20,2022
Miami Heat,82,44,38,3961,110.4,110.6,-0.2,17.8,22.8,77.7,49.2,13.6,98.60,2022
Los Angeles Lakers,82,43,39,3976,111.8,111.5,0.3,17.9,22.8,76.3,50.5,13.4,103.60,2022
Minnesota Timberwolves,82,42,40,3966,111.3,111.1,0.2,18.6,21.5,74.3,48.4,14.7,103.40,2022
New Orleans Pelicans,82,42,40,3971,111.8,109.9,1.9,18.5,24.7,77.4,51.1,14.3,101.40,2022
Atlanta Hawks,82,41,41,3971,113.9,113.6,0.3,17.6,25.1,75.8,50.2,12.4,103.10,2022
Toronto Raptors,82,41,41,3961,112.2,111.4,0.8,17.2,27.8,76.7,50.4,11.6,99.60,2022
Oklahoma City Thunder,82,40,42,3971,112.3,111.4,0.8,17.2,24.7,72.9,48.4,12.5,103.60,2022
Chicago Bulls,82,40,42,3981,111.7,109.4,2.3,18.1,20.1,77.8,49.4,13.2,100.60,2022
Dallas Mavericks,82,38,44,3986,114.3,114.0,0.3,17.4,18.0,75.5,46.4,12.2,98.80,2022
Utah Jazz,82,37,45,3961,112.7,113.8,-1.1,18.2,26.8,75.2,51.4,14.8,103.10,2022
Indiana Pacers,82,35,47,3951,111.0,115.4,-4.4,18.9,23.4,72.2,47.8,14.2,103.80,2022
Washington Wizards,82,35,47,3951,111.5,113.3,-1.8,18.5,22.6,76.1,50.4,13.9,100.80,2022
Orlando Magic,82,34,48,3956,109.0,111.5,-2.4,17.0,23.8,77.7,50.7,14.8,101.70,2022
Portland Trail Blazers,82,33,49,3946,112.0,116.0,-4.0,17.8,22.4,74.9,48.4,14.3,101.00,2022
Charlotte Hornets,82,27,55,3966,106.7,112.6,-5.9,17.8,23.8,75.5,49.1,13.7,103.30,2022
San Antonio Spurs,82,22,60,3971,107.2,117.7,-10.5,18.7,25.6,74.9,49.3,14.5,104.10,2022
Houston Rockets,82,22,60,3951,107.7,116.9,-9.2,16.0,30.2,75.8,52.7,15.8,101.80,2022
Detroit Pistons,82,17,65,3961,107.8,116.1,-8.2,16.7,24.9,74.0,48.7,14.7,101.60,2022
Phoenix Suns,82,64,18,3946,112.5,104.7,7.8,19.5,22.3,77.1,50.5,12.7,102.00,2021
Memphis Grizzlies,82,56,26,3956,111.6,106.2,5.4,17.9,30.0,77.8,53.3,12.7,103.10,2021
