TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Boston Celtics,66,52,14,48.4,15.3,14.5,15.4,47.3,13.4,13.3,13.0,47.6,2023
Denver Nuggets,67,47,20,48.1,15.5,13.4,14.0,53.6,16.2,13.0,13.6,50.6,2023
Oklahoma City Thunder,67,47,20,48.3,20.1,11.3,15.3,52.5,14.7,15.4,12.3,46.8,2023
Minnesota Timberwolves,67,46,21,48.4,16.6,13.5,12.4,51.3,16.3,12.9,13.1,46.5,2023
Milwaukee Bucks,67,43,24,48.2,14.3,13.0,12.9,47.9,14.7,13.9,13.8,51.5,2023
Cleveland Cavaliers,67,42,25,48.4,16.5,14.1,15.6,50.5,16.8,12.8,14.0,46.4,2023
LA Clippers,66,42,24,48.1,16.6,13.0,14.5,50.3,15.6,13.9,14.8,49.5,2023
New Orleans Pelicans,67,41,26,48.1,17.6,14.5,14.8,52.0,15.6,13.0,13.9,46.8,2023
New York Knicks,67,40,27,48.0,16.3,16.2,14.7,48.6,14.8,12.0,14.3,46.7,2023
Orlando Magic,67,39,28,48.3,18.3,14.8,12.6,51.9,16.5,12.3,14.3,47.9,2023
Phoenix Suns,67,39,28,48.3,15.5,13.3,13.4,47.8,18.3,14.3,14.6,49.9,2023
Dallas Mavericks,67,38,29,48.0,16.5,13.5,15.5,47.3,15.5,14.6,16.0,52.3,2023
Indiana Pacers,68,38,30,48.1,18.0,14.7,16.3,57.6,16.5,14.9,14.1,58.9,2023
Sacramento Kings,66,38,28,48.5,16.0,14.2,13.7,52.6,16.8,11.1,11.8,50.1,2023
Philadelphia 76ers,67,37,30,48.1,17.4,15.1,15.6,51.0,14.2,13.9,15.3,50.9,2023
Los Angeles Lakers,68,36,32,48.4,16.1,10.4,16.8,55.8,16.8,15.1,16.0,51.2,2023
Miami Heat,66,36,30,48.1,16.0,11.9,12.5,47.5,16.0,13.5,13.2,46.9,2023
Golden State Warriors,66,35,31,48.5,15.9,15.8,12.1,48.5,17.3,13.2,15.2,50.5,2023
Chicago Bulls,68,33,35,48.8,17.0,13.9,12.2,47.3,15.4,13.6,13.0,45.3,2023
Houston Rockets,67,32,35,48.4,16.1,14.1,15.4,50.4,14.6,13.3,11.3,47.8,2023
Atlanta Hawks,66,29,37,48.3,17.3,16.2,13.6,50.8,16.4,14.5,16.7,54.6,2023
Utah Jazz,67,29,38,48.4,15.0,16.7,14.2,53.9,19.2,13.8,18.2,51.6,2023
Brooklyn Nets,67,26,41,48.2,15.1,14.4,13.7,47.6,15.3,13.9,15.3,48.0,2023
Memphis Grizzlies,68,23,45,48.2,17.2,12.8,11.7,45.3,18.3,14.2,14.5,48.5,2023
Toronto Raptors,67,23,44,48.4,16.2,13.8,19.3,54.4,16.1,15.0,13.8,54.0,2023
Portland Trail Blazers,67,19,48,48.6,16.3,15.8,12.9,46.3,19.3,14.4,17.2,54.4,2023
Charlotte Hornets,68,17,51,48.1,15.5,12.6,12.7,48.6,17.1,14.0,14.2,52.6,2023
San Antonio Spurs,67,14,53,48.1,15.7,12.7,15.1,51.3,18.3,14.5,14.4,54.7,2023
Detroit Pistons,66,12,54,48.2,14.3,13.8,14.6,51.5,19.8,13.7,14.1,54.5,2023
Washington Wizards,67,11,56,48.1,17.9,11.2,17.9,55.0,16.7,16.8,15.3,59.8,2023
Milwaukee Bucks,82,58,24,48.4,13.7,14.3,13.1,46.0,16.5,13.4,13.0,49.6,2022
Boston Celtics,82,57,25,48.7,15.9,12.7,14.0,46.4,15.4,12.7,13.2,48.9,2022
Philadelphia 76ers,82,54,28,48.5,17.7,11.3,14.7,47.9,16.5,12.7,15.5,48.1,2022
Denver Nuggets,82,53,29,48.2,15.9,13.0,16.2,55.0,17.4,13.4,13.7,52.5,2022
Cleveland Cavaliers,82,51,31,48.5,19.4,12.5,12.7,52.8,15.5,12.1,12.7,46.3,2022
Memphis Grizzlies,82,51,31,48.2,17.7,15.3,18.0,58.4,15.6,14.5,13.8,47.5,2022
Sacramento Kings,82,48,34,48.4,17.6,13.3,14.9,52.3,16.3,12.7,11.5,53.5,2022
New York Knicks,82,47,35,48.7,15.6,16.2,12.8,52.1,15.3,13.3,12.7,45.9,2022
Brooklyn Nets,82,45,37,48.1,16.4,11.0,14.7,44.0,16.8,14.6,13.3,50.1,2022
Phoenix Suns,82,45,37,48.2,17.1,14.8,10.5,46.0,16.1,13.9,13.2,48.6,2022
Golden State Warriors,82,44,38,48.4,17.6,13.6,14.5,44.9,19.4,13.3,14.1,49.8,2022
LA Clippers,82,44,38,48.4,16.0,11.8,12.9,45.5,18.1,13.3,14.6,51.1,2022
Miami Heat,82,44,38,48.3,18.2,12.9,11.5,46.4,15.9,12.0,12.5,46.2,2022
Los Angeles Lakers,82,43,39,48.5,14.0,13.5,16.7,54.5,17.0,13.9,15.4,52.8,2022
Minnesota Timberwolves,82,42,40,48.4,18.0,12.3,14.7,54.3,17.7,13.7,14.4,50.8,2022
New Orleans Pelicans,82,42,40,48.4,18.2,13.8,14.7,53.4,18.0,13.4,13.9,49.5,2022
Atlanta Hawks,82,41,41,48.4,17.0,14.3,13.4,54.3,15.7,14.1,15.4,54.7,2022
Toronto Raptors,82,41,41,48.3,21.0,16.4,17.8,52.9,14.5,11.4,15.1,49.1,2022
Chicago Bulls,82,40,42,48.5,18.3,10.6,14.0,48.4,15.6,11.9,12.9,46.9,2022
Oklahoma City Thunder,82,40,42,48.4,20.6,13.9,14.6,55.2,14.8,15.5,11.9,50.7,2022
Dallas Mavericks,82,38,44,48.6,16.0,10.9,11.0,42.8,15.0,14.5,13.3,51.1,2022
Utah Jazz,82,37,45,48.3,15.3,15.9,12.0,53.1,18.7,15.2,16.8,53.0,2022
Indiana Pacers,82,35,47,48.2,17.2,13.7,18.1,49.6,18.4,15.4,15.0,53.7,2022
Washington Wizards,82,35,47,48.2,14.8,13.4,11.9,51.2,17.0,14.3,13.7,51.5,2022
Orlando Magic,82,34,48,48.2,17.5,14.2,12.8,50.0,18.2,13.5,14.4,47.6,2022
Portland Trail Blazers,82,33,49,48.1,16.3,11.8,14.2,47.7,17.8,13.6,15.3,53.3,2022
Charlotte Hornets,82,27,55,48.4,17.3,14.2,15.3,53.0,16.9,14.3,12.2,52.8,2022
Houston Rockets,82,22,60,48.2,15.6,16.7,12.9,54.9,20.6,13.0,17.5,49.0,2022
San Antonio Spurs,82,22,60,48.4,15.8,15.8,13.5,55.6,19.0,14.7,15.3,56.7,2022
Detroit Pistons,82,17,65,48.3,16.0,14.9,11.7,46.5,18.1,14.8,13.5,54.0,2022
Phoenix Suns,82,64,18,48.1,18.1,12.1,12.5,49.8,14.8,13.6,11.3,45.2,2021
Memphis Grizzlies,82,56,26,48.2,18.3,18.7,17.7,57.6,14.5,13.0,13.2,47.4,2021
Golden State Warriors,82,53,29,48.1,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9,2021
Miami Heat,82,53,29,48.4,17.2,12.7,10.9,43.0,16.7,12.6,12.2,41.3,2021
Dallas Mavericks,82,52,30,48.2,14.9,11.0,10.0,42.9,14.4,13.1,12.0,47.1,2021
Boston Celtics,82,51,31,48.5,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5,2021
Milwaukee Bucks,82,51,31,48.2,15.1,13.5,13.1,45.0,15.6,12.9,11.5,43.7,2021
Philadelphia 76ers,82,51,31,48.3,15.7,11.3,12.2,45.0,14.9,13.0,15.0,46.7,2021
Utah Jazz,82,49,33,48.1,14.7,14.9,10.1,47.9,16.5,12.9,11.9,45.3,2021
Denver Nuggets,82,48,34,48.3,15.6,12.5,13.5,49.3,17.3,11.4,12.5,49.9,2021
Toronto Raptors,82,48,34,48.4,19.0,16.5,15.8,47.1,14.3,13.9,11.7,45.1,2021
Chicago Bulls,82,46,36,48.1,16.4,11.1,12.7,45.8,15.3,12.7,12.0,49.6,2021
Minnesota Timberwolves,82,46,36,48.2,19.8,14.8,15.2,47.7,16.2,14.1,14.1,46.1,2021
Brooklyn Nets,82,44,38,48.2,15.7,13.7,13.7,46.0,17.2,13.7,14.0,47.3,2021
