TEAM,GP,W,L,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-,Season
Boston Celtics,66,52,14,48.4,41.4,92.2,44.9,12.9,37.0,34.8,13.9,18.2,76.5,11.2,32.3,43.5,24.8,11.7,6.4,3.7,6.6,17.7,16.7,109.7,-11.2,2023
Denver Nuggets,67,47,20,48.1,40.8,87.7,46.5,11.3,31.1,36.2,17.3,22.3,77.8,10.8,31.3,42.1,25.6,12.3,7.1,4.7,5.5,18.1,18.2,110.3,-4.6,2023
Oklahoma City Thunder,67,47,20,48.3,40.6,89.3,45.4,13.5,36.9,36.5,18.5,23.6,78.5,12.1,32.7,44.8,27.0,15.7,6.9,5.2,6.7,19.0,19.3,113.1,-7.6,2023
Minnesota Timberwolves,67,46,21,48.4,39.0,87.2,44.7,11.3,32.4,34.9,17.3,22.0,78.5,10.3,30.9,41.2,24.4,14.1,7.5,4.9,6.0,20.1,19.3,106.6,-6.7,2023
Milwaukee Bucks,67,43,24,48.2,43.6,92.4,47.2,12.6,35.0,36.0,17.3,21.6,80.1,10.3,33.7,44.0,26.6,12.0,6.8,4.3,5.0,19.9,19.4,117.1,-3.3,2023
Cleveland Cavaliers,67,42,25,48.4,40.2,88.0,45.7,12.1,33.6,36.1,17.0,21.7,78.5,10.1,32.7,42.8,24.6,13.5,7.6,5.1,4.9,19.0,18.1,109.6,-4.0,2023
LA Clippers,66,42,24,48.1,41.7,88.9,46.9,12.8,35.3,36.2,16.5,21.2,77.9,11.1,30.8,41.9,26.5,13.1,7.1,4.5,5.1,19.2,18.8,112.7,-4.2,2023
New Orleans Pelicans,67,41,26,48.1,40.5,87.9,46.1,13.4,38.8,34.6,16.6,21.1,78.3,10.3,32.0,42.3,26.8,14.2,6.5,5.3,5.0,18.7,18.7,111.0,-5.1,2023
New York Knicks,67,40,27,48.0,40.1,85.9,46.7,12.6,34.5,36.6,15.0,19.8,75.6,10.1,30.5,40.6,25.4,13.0,6.8,5.3,4.1,19.3,17.7,107.8,-4.1,2023
Orlando Magic,67,39,28,48.3,40.0,84.3,47.4,11.6,32.4,35.8,17.6,22.9,77.0,9.1,30.9,40.0,23.9,14.9,8.1,4.8,5.2,21.2,20.5,109.2,-1.5,2023
Phoenix Suns,67,39,28,48.3,42.2,91.2,46.3,13.3,36.6,36.3,16.4,21.4,76.6,11.3,30.3,41.6,26.1,12.6,8.2,4.7,6.0,20.5,18.2,114.2,-2.6,2023
Dallas Mavericks,67,38,29,48.0,43.6,90.6,48.1,13.3,36.0,36.9,17.1,22.4,76.6,11.3,33.9,45.2,27.7,13.7,7.3,4.0,4.8,20.8,18.6,117.7,-1.3,2023
Indiana Pacers,68,38,30,48.1,44.9,89.8,50.0,10.9,29.3,37.2,20.4,25.9,78.6,10.8,32.5,43.3,24.7,14.1,6.8,5.5,5.9,18.6,21.5,121.1,-2.0,2023
Sacramento Kings,66,38,28,48.5,42.5,87.3,48.7,13.2,33.7,39.3,18.9,23.3,80.9,8.9,33.4,42.3,27.7,13.7,7.4,4.7,4.0,18.5,20.1,117.1,-0.9,2023
Philadelphia 76ers,67,37,30,48.1,40.8,86.4,47.3,11.8,33.6,35.2,19.2,24.2,79.2,11.1,33.3,44.4,26.1,14.5,6.1,6.1,5.7,19.1,20.7,112.6,-2.4,2023
Los Angeles Lakers,68,36,32,48.4,44.5,93.5,47.5,14.3,37.8,37.7,14.6,18.2,80.2,11.0,33.3,44.4,28.3,13.3,7.9,4.8,5.5,19.7,15.9,117.8,0.6,2023
Miami Heat,66,36,30,48.1,40.5,86.2,47.0,13.2,36.8,36.0,15.3,19.8,77.3,9.4,33.5,42.9,26.7,13.8,6.8,4.9,3.5,19.1,17.8,109.6,-0.6,2023
Golden State Warriors,66,35,31,48.5,42.6,90.6,47.0,13.1,36.7,35.7,18.5,23.3,79.4,10.8,32.5,43.3,26.7,13.0,7.8,5.1,4.3,18.8,20.0,116.8,-1.6,2023
Chicago Bulls,68,33,35,48.8,41.0,87.0,47.2,14.5,39.6,36.6,17.1,21.9,77.9,10.1,33.6,43.7,28.1,14.0,6.7,5.1,4.9,19.0,18.9,113.6,1.6,2023
Houston Rockets,67,32,35,48.4,40.5,87.9,46.1,12.3,35.5,34.7,19.2,25.5,75.2,10.5,34.2,44.7,24.5,13.6,7.4,6.0,4.5,19.7,21.0,112.5,-0.8,2023
Atlanta Hawks,66,29,37,48.3,45.0,91.0,49.5,14.0,36.4,38.4,17.3,22.0,78.6,11.1,33.6,44.7,28.3,14.2,7.7,5.7,4.6,20.0,18.4,121.3,1.9,2023
Utah Jazz,67,29,38,48.4,44.5,91.7,48.5,14.7,37.0,39.8,17.0,22.0,77.3,10.7,31.3,42.0,29.6,12.4,8.4,6.4,5.9,19.5,19.0,120.7,3.3,2023
Brooklyn Nets,67,26,41,48.2,41.5,87.9,47.2,13.0,34.5,37.8,18.0,22.2,81.0,10.2,34.1,44.3,25.3,12.8,6.8,4.8,5.1,18.3,19.0,114.0,2.3,2023
Memphis Grizzlies,68,23,45,48.2,41.1,87.0,47.2,13.3,35.2,37.7,16.8,21.6,77.9,10.6,34.8,45.4,26.1,14.9,8.1,6.3,6.2,19.0,19.3,112.3,6.5,2023
Toronto Raptors,67,23,44,48.4,44.4,91.3,48.7,13.4,35.6,37.7,15.8,19.8,79.7,10.9,34.0,45.0,28.4,13.7,6.9,5.4,4.9,18.2,18.4,118.1,4.2,2023
Portland Trail Blazers,67,19,48,48.6,42.8,86.8,49.3,11.6,33.0,35.2,18.7,23.7,78.8,10.7,33.1,43.9,27.3,14.7,8.7,6.4,4.5,18.2,20.4,115.9,8.1,2023
Charlotte Hornets,68,17,51,48.1,43.0,87.5,49.1,13.3,35.7,37.4,17.4,21.7,80.1,10.4,35.1,45.6,28.1,13.7,7.1,5.1,4.6,17.6,18.6,116.7,9.9,2023
San Antonio Spurs,67,14,53,48.1,45.1,91.7,49.2,13.0,34.2,38.0,16.7,21.4,78.1,10.7,34.7,45.4,28.1,13.5,8.7,4.7,6.3,18.2,17.6,119.8,7.6,2023
