TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",Season
Boston Celtics,66,52,14,48.4,53.0,47.0,45.3,6.2,40.7,12.7,14.0,12.7,39.1,50.2,49.8,77.9,22.1,60.6,39.4,2023
Denver Nuggets,67,47,20,48.1,65.0,35.0,56.8,10.2,30.0,12.2,13.2,13.5,46.7,59.5,40.5,86.1,13.9,66.4,33.6,2023
Oklahoma City Thunder,67,47,20,48.3,61.8,38.2,51.8,8.3,33.5,12.7,14.7,16.7,43.5,47.6,52.4,89.1,10.9,60.1,39.9,2023
Minnesota Timberwolves,67,46,21,48.4,62.1,37.9,50.9,5.6,33.1,10.9,16.1,14.6,45.3,54.2,45.8,86.4,13.6,63.9,36.1,2023
Milwaukee Bucks,67,43,24,48.2,56.9,43.1,48.3,8.5,35.5,10.7,16.2,11.9,39.8,49.8,50.2,83.9,16.1,61.0,39.0,2023
Cleveland Cavaliers,67,42,25,48.4,57.5,42.5,50.0,5.6,36.1,13.7,13.9,14.5,44.4,57.2,42.8,84.2,15.8,66.0,34.0,2023
LA Clippers,66,42,24,48.1,61.4,38.6,50.9,7.8,33.4,12.4,15.7,14.2,43.1,54.5,45.5,73.7,26.3,60.4,39.6,2023
New Orleans Pelicans,67,41,26,48.1,63.2,36.8,52.7,7.9,31.9,12.8,15.4,15.2,44.8,52.7,47.3,89.5,10.5,63.3,36.7,2023
New York Knicks,67,40,27,48.0,59.5,40.5,49.7,6.2,34.8,13.2,15.5,14.6,43.4,46.5,53.5,83.3,16.7,58.3,41.7,2023
Orlando Magic,67,39,28,48.3,63.6,36.4,53.3,6.4,29.6,11.4,17.1,16.6,46.8,50.5,49.5,87.9,12.1,60.6,39.4,2023
Phoenix Suns,67,39,28,48.3,63.0,37.0,52.3,11.4,30.8,11.5,17.0,13.3,40.9,53.3,46.7,86.0,14.0,62.5,37.5,2023
Dallas Mavericks,67,38,29,48.0,55.8,44.2,48.1,8.3,37.1,13.0,14.8,13.8,39.8,50.7,49.3,74.6,25.4,58.8,41.2,2023
Indiana Pacers,68,38,30,48.1,61.8,38.2,54.4,7.6,32.2,13.2,13.4,14.6,46.8,57.5,42.5,85.2,14.8,65.4,34.6,2023
Sacramento Kings,66,38,28,48.5,57.2,42.8,50.4,5.8,36.5,11.6,13.1,13.5,44.6,54.0,46.0,88.1,11.9,65.1,34.9,2023
Philadelphia 76ers,67,37,30,48.1,63.7,36.3,52.1,7.7,30.2,13.6,17.8,15.1,44.4,50.2,49.8,82.6,17.4,59.2,40.8,2023
Los Angeles Lakers,68,36,32,48.4,64.8,35.2,54.6,7.1,29.7,14.3,15.7,13.7,47.6,59.4,40.6,81.7,18.3,65.3,34.7,2023
Miami Heat,66,36,30,48.1,61.5,38.5,50.0,6.9,33.3,11.4,16.7,14.6,43.2,53.6,46.4,89.8,10.2,64.7,35.3,2023
Golden State Warriors,66,35,31,48.5,57.3,42.7,48.6,7.6,37.5,10.2,13.9,13.5,41.0,59.6,40.4,80.3,19.7,66.7,33.3,2023
Chicago Bulls,68,33,35,48.8,63.5,36.5,53.6,11.5,31.3,10.9,15.1,15.2,42.2,48.5,51.5,87.7,12.3,59.5,40.5,2023
Houston Rockets,67,32,35,48.4,61.4,38.6,51.7,7.2,32.3,13.6,15.9,14.2,44.5,51.5,48.5,79.2,20.8,59.6,40.4,2023
Atlanta Hawks,66,29,37,48.3,59.6,40.4,49.4,6.8,34.2,11.4,16.4,14.5,42.6,52.6,47.4,77.6,22.4,60.5,39.5,2023
Utah Jazz,67,29,38,48.4,59.3,40.7,50.1,4.1,33.8,12.1,16.1,12.8,46.0,55.6,44.4,87.9,12.1,65.6,34.4,2023
Brooklyn Nets,67,26,41,48.2,58.5,41.5,49.1,6.4,36.8,12.3,14.1,13.5,42.7,53.5,46.5,85.4,14.6,64.1,35.9,2023
Memphis Grizzlies,68,23,45,48.2,56.1,43.9,47.0,4.3,37.8,11.1,15.2,16.3,42.8,53.0,47.0,88.1,11.9,65.2,34.8,2023
Toronto Raptors,67,23,44,48.4,62.9,37.1,54.5,6.7,31.3,16.9,14.2,14.3,47.8,59.5,40.5,90.7,9.3,68.1,31.9,2023
Portland Trail Blazers,67,19,48,48.6,62.8,37.2,51.5,8.5,32.7,12.0,15.8,15.1,43.0,46.9,53.1,84.5,15.5,58.1,41.9,2023
Charlotte Hornets,68,17,51,48.1,61.9,38.1,53.1,7.7,33.2,11.9,13.6,14.5,45.5,51.7,48.3,83.5,16.5,61.0,39.0,2023
San Antonio Spurs,67,14,53,48.1,60.4,39.6,52.3,6.6,33.7,13.4,14.0,14.0,45.7,62.1,37.9,91.4,8.6,70.9,29.1,2023
